"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 26 21:15:23 TRT 2022","Tue Apr 26 21:15:27 TRT 2022","4436","test","test_add_contact","","","","test_add_contact[Анфим:Ася:Ардалионов:till_1846:Профессор:пятно:Аллея Стромынка 1389:+7-(909)-404-79-43:+7-(968)-616-31-09:+7-(968)-411-94-54:+7-(932)-633-20-07:focal1890@outlook.com:bit1929@protonmail.com:tablets1876@example.org:None]",""
"passed","Tue Apr 26 21:16:09 TRT 2022","Tue Apr 26 21:16:12 TRT 2022","2743","test","test_contact_group","","","","test_add_contact_to_group",""
"passed","Tue Apr 26 21:15:50 TRT 2022","Tue Apr 26 21:15:52 TRT 2022","1052","test","test_add_group","","","","test_add_new_group[None:убедиться:сыграть:время]",""
"passed","Tue Apr 26 21:15:36 TRT 2022","Tue Apr 26 21:15:41 TRT 2022","4122","test","test_add_contact","","","","test_add_contact[Владислав:Мила:Сахарнова:cycle_1846:Проф.:много:Аллея Кетчерская 609:+7-(909)-922-23-52:+7-(915)-067-00-67:+7-(968)-168-32-41:+7-(968)-752-87-27:cheapest1817@protonmail.com:mutual1967@duck.com:ppc2018@protonmail.com:None]",""
"passed","Tue Apr 26 21:16:19 TRT 2022","Tue Apr 26 21:16:23 TRT 2022","4110","test","test_db_matches_ui","","","","test_group_list",""
"passed","Tue Apr 26 21:15:47 TRT 2022","Tue Apr 26 21:15:48 TRT 2022","1156","test","test_add_group","","","","test_add_new_group[None:личность:обладать:москвич]",""
"passed","Tue Apr 26 21:16:38 TRT 2022","Tue Apr 26 21:16:39 TRT 2022","1365","test","test_edit_group","","","","test_edit_by_id",""
"passed","Tue Apr 26 21:15:45 TRT 2022","Tue Apr 26 21:15:47 TRT 2022","1344","test","test_add_group","test_add_new_group[None","","","test_add_new_group[None:::]",""
"passed","Tue Apr 26 21:16:30 TRT 2022","Tue Apr 26 21:16:38 TRT 2022","7617","test","test_edit_contact","","","","test_edit_some_contact",""
"passed","Tue Apr 26 21:15:19 TRT 2022","Tue Apr 26 21:15:23 TRT 2022","3334","test","test_add_contact","","","","test_add_contact[Имя2:Отчество:Фамилия:Никнейм:Название:Компания:Адрес:749512312311:71231231212:797788148991:1234567890:test@test.test:2test@test.test:3test@test.test:None]",""
"passed","Tue Apr 26 21:16:29 TRT 2022","Tue Apr 26 21:16:30 TRT 2022","1017","test","test_del_group","","","","test_delete_some_group",""
"passed","Tue Apr 26 21:16:13 TRT 2022","Tue Apr 26 21:16:18 TRT 2022","4904","test","test_contact_group","","","","test_del_contact_from_group",""
"passed","Tue Apr 26 21:15:32 TRT 2022","Tue Apr 26 21:15:36 TRT 2022","4288","test","test_add_contact","","","","test_add_contact[Малика:Виктор:Алтухов:low_1873:Доктор:цифра:Аллея Загородное 340:+7-(949)-921-84-08:+7-(968)-980-88-47:+7-(999)-820-79-12:+7-(965)-005-88-97:eating1810@protonmail.com:irc2032@gmail.com:newsletter2052@gmail.com:None]",""
"passed","Tue Apr 26 21:15:48 TRT 2022","Tue Apr 26 21:15:49 TRT 2022","1144","test","test_add_group","","","","test_add_new_group[None:бояться:согласный:столовый]",""
"passed","Tue Apr 26 21:16:23 TRT 2022","Tue Apr 26 21:16:27 TRT 2022","4308","test","test_del_contact","","","","test_delete_some_contact",""
"passed","Tue Apr 26 21:15:41 TRT 2022","Tue Apr 26 21:15:45 TRT 2022","4646","test","test_add_contact","","","","test_add_contact[Паисий:Марианна:Васькина:thats_1904:Миссис:коммунистический:Аллея Калитниковская Ср. 1215:+7-(934)-150-49-00:+7-(944)-478-21-83:+7-(999)-185-51-59:+7-(909)-306-20-57:marilyn2034@example.org:sentences2043@outlook.com:examples2021@live.com:None]",""
"passed","Tue Apr 26 21:15:49 TRT 2022","Tue Apr 26 21:15:50 TRT 2022","1114","test","test_add_group","","","","test_add_new_group[None:умереть:мастерская:знак]",""
"passed","Tue Apr 26 21:15:53 TRT 2022","Tue Apr 26 21:16:09 TRT 2022","16234","test","test_check_data","","","","test_alldata_on_home_page",""
"passed","Tue Apr 26 21:15:27 TRT 2022","Tue Apr 26 21:15:32 TRT 2022","4691","test","test_add_contact","","","","test_add_contact[Наргиза:Матвей:Бурова:disks_2015:Проф.:колбаса:ул. Сокольническая 153:+7-(909)-041-36-26:+7-(909)-989-66-35:+7-(968)-128-84-44:+7-(909)-143-40-37:bicycle1950@outlook.com:closure1917@duck.com:slots1816@gmail.com:None]",""
"passed","Tue Apr 26 21:15:52 TRT 2022","Tue Apr 26 21:15:53 TRT 2022","1060","test","test_add_group","","","","test_add_new_group[None:надел:метр:грозный]",""
